,open_KO,high_KO,low_KO,close_KO,volume_KO
2024-08-14 07:21:00,67.9982,67.9982,67.9783,67.9783,5
2024-08-14 07:23:00,67.9783,67.9783,67.9783,67.9783,2
2024-08-14 07:25:00,67.9783,67.9783,67.9783,67.9783,1
2024-08-14 07:26:00,67.9783,67.9783,67.9783,67.9783,1
2024-08-14 07:27:00,67.9783,67.9783,67.9783,67.9783,2
2024-08-14 07:28:00,67.9684,67.9783,67.9485,67.9783,9
2024-08-14 07:29:00,67.9783,67.9783,67.9783,67.9783,1
2024-08-14 07:30:00,67.9783,67.9783,67.9485,67.9485,14
2024-08-14 07:31:00,67.9485,67.9485,67.9485,67.9485,3
2024-08-14 07:33:00,67.9783,67.9783,67.9584,67.9783,7
2024-08-14 07:34:00,67.9783,67.9783,67.9584,67.9584,2
2024-08-14 07:35:00,67.9485,67.9485,67.9485,67.9485,5
2024-08-14 07:38:00,67.9485,67.9485,67.9485,67.9485,1
2024-08-14 07:39:00,67.9783,67.9783,67.9783,67.9783,1
2024-08-14 07:41:00,67.9684,67.9684,67.9684,67.9684,1
2024-08-14 07:46:00,67.9783,67.9783,67.9783,67.9783,1
2024-08-14 07:48:00,67.9783,67.9882,67.9783,67.9882,50
2024-08-14 07:49:00,67.9882,67.9882,67.9882,67.9882,23
2024-08-14 07:50:00,67.9882,67.9882,67.9882,67.9882,4
2024-08-14 07:51:00,67.9584,67.9584,67.9485,67.9485,2
2024-08-14 07:52:00,67.9882,67.9882,67.9882,67.9882,10
